Assigned to,Regional,Riser,Riser,,Intent to File,Intent to File Deadline,Days Left to File,Legislative Start,Legislative End,Bill Request Deadline,State House,,State Senate,,,,,,,,,,,,,,,,
Mitch,,,,,1/8/2019,6/30/2020,277,1/8/2019,6/30/2020,,26,15,12,9,,,,,,,,,,,,,,,
Branch,District,First Name,Last Name,Party,Leadership,Committee,Committee,Committee,Committee,Notes,Phone,Email,Briefs,First Elected,Next Election,Term Limited,Counties Represented,,,,,,,,,,,,
House,1,Nnamdi,Chukwuocha,Dem,,,,,,,302-744-4351,nnamdi.chukwuocha@state.de.us,,2012,,,,Brandywine Hills,,,,,,,,,,,
House,2,StephanieT,Bolden,Dem,,,,,,,,stephaniet.bolden@state.de.us,,2010,,,,,,,,,,,,,,,
House,3,Sherry,Walker,Dem,,,,,,,302-744-4351,sherry.walker@state.de.us,,1996,,,,Wilmington South,,,,,,,,,,,
House,4,Gerald,Brady,Dem,,,,,,,,gerald.brady@state.de.us,,2006,,,,Wilmington West,,,,,,,,,,,
House,5,Kendra,Johnson,Dem,,,,Housing and Community Affairs ,,,302-744-4351,kendra.johnson@state.de.us,,2002,,,,Bear/Newark,,,,,,,,,,,
House,6,Debra,Heffernan,Dem,,Chair Infrastructure,,Natural Resources,,,,debra.heffernan@state.de.us,,2010,,,,Edgewood Hills,,,,,,,,,,,
House,7,Raymond,Seigfried,Dem,,,,,,,302-744-4351,raymond.seigfried@state.de.us,,2007,,,,,,,,,,,,,,,
House,8,Quinton,Johnson,Dem,,Chair Appropriations,,Energy ,,,,quinton.johnson@state.de.us,,2008,,,,Middletown,,,,,,,,,,,
House,9,Kevin,Hensley,Rep,,,,,,,,kevin.hensley@state.de.us,,2014,,,,,,,,,,,,,,,
House,10,Sean,Matthews,Dem,,,,,,,,sean.matthews@state.de.us,,2014,,,,Delaware,,,,,,,,,,,
House,11,Jeffrey,Spiegelman,Rep,,,,,,,,jeffrey.spiegelman@state.de.us,,2012,,,,Clayton,,,,,,,,,,,
House,12,Krista,Griffith,Dem,,Telecommunication Internet & Tech,,,,,302-744-4351,krista.griffith@state.de.us,,1994,,,,Fairthorne,,,,,,,,,,,
House,13,John,Mitchell,Dem,Majority Whip,,,,,,,john.mitchell@state.de.us,,2006,,,,Elsmere,,,,,,,,,,,
House,14,Peter,Schwartzkopf,Dem,Speaker of the House,,,,,,,peter.schwartzkopf@state.de.us,,2002,,,,Rehoboth,,,,,,,,,,,
House,15,Valerie,Longhurst,Dem,Majority Leader,Chair Administration,,Ethics,Rules,,,valerie.longhurst@state.de.us,,2004,,,,Bear,,,,,,,,,,,
House,16,Franklin,Cooke,Dem,,,,,,,302-744-4351,franklin.cooke@state.de.us,,2004,,,,Jefferson Farms,,,,,,,,,,,
House,17,Meilissa,Minor,Dem,,Corrections,,,,,302-744-4351,meilissa.minor@state.de.us,,1998,,,,Pennwood,,,,,,,,,,,
House,18,David,Bentz,Dem,,Policy Analysis and Gov Accountability,,Health and Human Development,,,,david.bentz@state.de.us,,2015,,,,,,,,,,,,,,,
House,19,Kimberly,Williams,Dem,,,,,,,,kimberly.williams@state.de.us,,2012,,,,Klair Estates,,,,,,,,,,,
House,20,Stephen,Smyk,Rep,,,,,,,,stephen.smyk@state.de.us,,2012,,,,Milton,,,,,,,,,,,
House,21,Michael,Ramone,Rep,,,eee,,,,,michael.ramone@state.de.us,,2008,,,,Drummond Hill,,,,,,,,,,,
House,22,Michael,Smith,Rep,,,,,,,,michael.smith@state.de.us,,1998,,,,Pike Creek Valley,,,,,,,,,,,
House,23,Paul,Baumbach,Dem,,,,,,,,paul.baumbach@state.de.us,,2012,,,,Newark,,,,,,,,,,,
House,24,Edward,Osienski,Dem,,Transportation Land Use and Infrastructure,,Labor,,,,edward.osienski@state.de.us,,2010,,,,,,,,,,,,,,,
House,25,John,Kowalko,Dem,,,,Manufactured Housing ,,,,john.kowalko@state.de.us,,2006,,,,Newark South,,,,,,,,,,,
House,26,John,Viola,Dem,,Revenue and Finance,,Gaming and Parimutuels,,,,john.viola@state.de.us,,1998,,,,Newark,,,,,,,,,,,
House,27,Earl,"Jaques,",Dem,,Education,,Veterans Affairs,,,,"earl.jaques,@state.de.us",,2008,,,,Glasgow,,,,,,,,,,,
House,28,William,"Carson,",Dem,,Chair Agriculture,,Public Safety and Homeland Sec,,,,"william.carson,@state.de.us",,2008,,,,Smyrna,,,,,,,,,,,
House,29,William,Bush,Dem,,Vice Chair Agricutlure,eeeee,economic development/banking/insurance/commerce,,,,william.bush@state.de.us,,2012,,,,,,,,,,,,,,,
House,30,Shannon,Morris,Rep,,,fff,,,,,shannon.morris@state.de.us,,2004,,,,Harrington,,,,,,,,,,,
House,31,Sean,Lynn,Dem,,,,Judiciary,,,,sean.lynn@state.de.us,,2014,,,,Dover,,,,,,,,,,,
House,32,Andria,Bennett,Dem,,,,,,,,andria.bennett@state.de.us,,2012,,,,Dover,,,,,,,,,,,
House,33,Charles,Postles,Rep,,,,,,,,charles.postles@state.de.us,,2016,,,,,,,,,,,,,,,
